Total ,Sport,Age,Height,Weight,Sex
0,Judo,23,170,60,M
0,Athletics,33,193,125,M
0,Athletics,30,187,76,M
0,Boxing,24,,,M
0,Athletics,26,178,85,F
0,Handball,27,182,80,M
0,Rowing,30,182,73,F
0,Football,23,187,75,M
0,Athletics,27,190,80,M
0,Boxing,19,170,,M
0,Hockey,37,,,M
0,Hockey,28,,,M
0,Rowing,28,173,60,F
0,Water Polo,28,171,64,F
0,Football,22,171,62,M
0,Synchronised Swimming,19,167,,F
0,Football,22,175,63,M
0,Weightlifting,25,162,69,M
0,Boxing,18,167,,M
0,Weightlifting,25,175,85,M
0,Synchronised Swimming,19,170,,F
0,Volleyball,26,171,60,F
0,Athletics,34,177,66,M
0,Athletics,35,180,61,M
0,Boxing,20,183,,M
0,Athletics,26,165,55,F
0,Boxing,25,167,,M
0,Wrestling,22,,,M
0,Athletics,21,170,47,F
0,Taekwondo,23,180,,M
0,Wrestling,34,173,84,M
0,Wrestling,22,170,66,M
0,Fencing,27,179,82,M
1,Diving,20,160,62,F
0,Judo,28,,62,F
0,Badminton,27,177,78,M
0,Athletics,24,173,53,F
0,Football,27,168,60,F
0,Athletics,25,159,54,F
0,Weightlifting,20,162,75,F
0,Gymnastics - Artistic,20,161,,M
0,Athletics,17,170,53,F
0,Swimming,23,166,68,F
0,Athletics,31,180,64,M
0,Football,23,152,58,F
1,Fencing,21,188,82,M
0,Wrestling,18,153,55,M
0,Football,33,182,77,M
0,Athletics,25,184,78,M
0,Football,22,172,70,M
0,Athletics,34,158,47,F
0,Cycling - Mountain Bike,22,162,50,F
0,Cycling - Mountain Bike,31,180,68,M
0,Athletics,21,168,62,M
0,Athletics,28,168,62,M
0,Judo,28,172,72,M
0,Taekwondo,28,183,,M
0,Boxing,29,168,,M
0,Triathlon,31,175,58,F
0,Athletics,21,,,M
0,Judo,22,,65,M
0,Gymnastics - Rhythmic,20,164,,F
0,Basketball,29,208,110,M
0,Shooting,31,172,80,M
0,Athletics,24,167,52,F
0,Basketball,19,192,83,F
0,Volleyball,17,175,60,F
0,Wrestling,27,184,84,M
1,Rowing,27,171,72,F
0,Weightlifting,31,166,63,F
0,Athletics,37,188,66,F
0,Swimming,22,192,89,M
0,Triathlon,29,162,51,F
0,Synchronised Swimming,23,160,,F
0,Athletics,27,178,79,M
0,Judo,30,171,73,M
0,Athletics,23,180,79,M
0,Swimming,20,173,65,F
0,Athletics,35,189,70,M
0,Athletics,23,194,87,M
0,Boxing,29,164,,F
0,Athletics,27,193,120,F
1,Rowing,29,189,90,M
0,Athletics,24,183,75,M
0,Badminton,23,183,80,M
0,Athletics,27,188,88,M
0,Athletics,18,168,58,M
0,Athletics,27,162,65,F
0,Athletics,25,153,52,F
0,Gymnastics - Artistic,17,153,,F
1,Swimming,23,179,70,F
2,Swimming,23,201,102,M
0,Swimming,19,190,84,M
0,Athletics,28,182,64,F
1,Gymnastics - Artistic,20,158,,F
0,Football,21,186,74,M
0,Equestrian,39,,,M
0,Water Polo,28,188,88,M
0,Water Polo,35,194,103,M
0,Swimming,28,175,75,M
0,Swimming,16,160,50,F
0,Rowing,31,188,96,M
0,Table Tennis,18,,,M
0,Hockey,33,171,61,F
3,Swimming,20,202,90,M
0,Sailing,21,178,76,F
0,Handball,25,177,66,F
0,Fencing,27,,,M
1,Judo,21,178,78,F
0,Athletics,27,194,80,M
0,Athletics,34,165,50,F
0,Gymnastics - Rhythmic,19,167,,F
0,Handball,27,170,67,F
0,Water Polo,28,189,82,M
0,Handball,29,196,113,M
0,Diving,22,,,M
0,Table Tennis,19,174,66,M
0,Football,23,178,79,M
0,Handball,28,196,92,M
0,Athletics,25,160,50,F
0,Handball,24,175,65,F
0,Equestrian,37,192,88,M
0,Badminton,25,178,68,M
0,Hockey,35,,,M
0,Shooting,30,160,58,F
0,Wrestling,25,170,74,M
0,Taekwondo,23,176,,M
0,Wrestling,23,172,66,M
0,Boxing,20,,,M
0,Athletics,23,169,65,M
0,Weightlifting,25,165,68,F
0,Hockey,23,,,M
0,Athletics,21,190,60,M
0,Football,21,174,73,M
0,Athletics,21,178,71,F
0,Athletics,24,170,57,F
0,Shooting,31,170,60,F
0,Badminton,24,174,66,M
0,Sailing,24,188,80,M
0,Athletics,20,160,64,F
0,Water Polo,26,192,104,M
0,Athletics,29,177,61,F
1,Canoe Slalom,23,183,80,M
0,Sailing,35,183,90,M
0,Volleyball,23,184,80,F
0,Athletics,33,167,50,F
0,Taekwondo,24,175,,F
0,Athletics,29,178,59,F
0,Football,20,160,65,F
0,Boxing,20,,,M
0,Swimming,19,,,M
0,Athletics,24,,,M
0,Cycling - Road,24,178,67,M
0,Wrestling,21,192,120,M
0,Wrestling,27,179,84,M
0,Fencing,24,182,74,M
0,Athletics,25,166,56,F
0,Athletics,27,,,F
0,Volleyball,24,191,79,F
0,Canoe Slalom,23,183,79,M
0,Weightlifting,27,178,105,M
0,Athletics,24,160,49,F
0,Athletics,32,165,78,M
0,Sailing,21,180,78,M
0,Hockey,27,155,51,F
0,Athletics,21,160,74,M
0,Football,22,171,72,M
0,Shooting,18,,,F
0,Football,20,168,62,M
0,Football,21,178,66,M
0,Swimming,24,,,M
0,Equestrian,40,,,M
0,Football,21,176,65,M
0,Football,21,179,71,M
0,Athletics,21,175,65,M
0,Football,21,176,71,M
0,Shooting,20,166,69,F
0,Football,23,168,68,M
0,Football,24,173,68,M
0,Shooting,27,170,70,M
0,Football,29,169,68,M
0,Football,21,178,75,M
0,Football,22,181,80,M
0,Equestrian,27,,,M
0,Athletics,27,,,M
0,Shooting,31,180,104,M
1,Shooting,41,178,70,M
0,Athletics,30,187,65,M
0,Swimming,15,173,65,M
0,Athletics,35,,,M
0,Athletics,23,191,96,M
0,Athletics,18,175,65,M
0,Athletics,20,170,55,M
0,Athletics,19,162,60,F
0,Athletics,24,171,67,M
0,Weightlifting,22,175,83,M
0,Football,23,183,74,M
0,Taekwondo,23,168,,M
0,Athletics,17,155,43,F
0,Archery,17,160,50,F
0,Athletics,21,170,65,M
0,Athletics,24,,,M
0,Athletics,36,,,M
0,Athletics,35,,,M
0,Shooting,40,,,M
0,Athletics,28,195,110,M
0,Football,21,189,84,M
0,Sailing,26,164,55,F
0,Athletics,16,182,71,F
0,Football,23,175,73,M
0,Athletics,22,178,57,M
0,Table Tennis,20,170,65,M
0,Athletics,28,158,42,F
0,Football,20,176,75,M
0,Shooting,39,,,M
0,Swimming,18,175,65,M
0,Athletics,23,166,55,F
0,Football,23,170,66,M
0,Swimming,24,205,110,M
0,Cycling - Road,31,172,67,M
0,Weightlifting,24,192,156,M
0,Basketball,26,172,62,F
0,Equestrian,41,165,64,F
0,Handball,29,178,81,F
0,Football,23,176,76,M
0,Rowing,23,183,76,F
0,Athletics,20,,,F
0,Cycling - Road,29,,,M
0,Athletics,27,185,74,M
0,Athletics,39,172,62,F
0,Sailing,23,172,68,F
0,Wrestling,28,178,87,M
0,Shooting,45,180,100,M
0,Judo,21,,65,M
0,Hockey,27,184,75,M
0,Hockey,31,171,71,M
0,Taekwondo,24,154,,F
0,Sailing,26,171,60,F
0,Athletics,26,,83,M
0,Athletics,40,199,135,M
0,Boxing,27,164,,M
0,Rowing,22,189,94,M
0,Swimming,19,185,75,M
0,Wrestling,20,185,96,M
0,Cycling - BMX,21,164,62,F
0,Athletics,24,186,75,M
0,Canoe Sprint,20,188,89,M
0,Water Polo,26,197,100,M
0,Volleyball,29,200,96,M
0,Football,21,173,66,M
0,Swimming,25,175,75,M
0,Athletics,30,171,60,F
0,Athletics,18,,,M
0,Athletics,26,178,65,F
0,Fencing,20,184,82,M
0,Canoe Sprint,34,185,85,M
0,Wrestling,22,191,96,M
0,Swimming,20,185,80,M
0,Swimming,17,170,72,F
0,Equestrian,40,158,53,F
1,Equestrian,37,162,55,F
0,Athletics,29,,,M
0,Table Tennis,25,174,85,M
0,Wrestling,27,176,72,F
0,Athletics,23,167,61,M
0,Athletics,27,190,83,M
0,Fencing,37,176,68,M
0,Athletics,28,,,M
0,Athletics,17,,,F
0,Swimming,15,165,60,M
0,Handball,26,200,110,M
0,Fencing,25,185,72,M
0,Shooting,36,175,85,M
0,Wrestling,26,175,74,M
0,Wrestling,22,170,60,M
0,Swimming,27,179,68,F
0,Athletics,37,,,M
0,Swimming,29,165,55,F
0,Badminton,30,162,57,F
0,Basketball,22,188,86,F
0,Shooting,40,169,67,F
0,Football,22,170,65,M
0,Swimming,20,170,65,F
0,Athletics,23,180,73,M
0,Boxing,19,171,,M
0,Swimming,25,183,73,M
0,Athletics,27,169,55,M
0,Tennis,26,183,84,M
0,Shooting,27,,,M
0,Shooting,35,,,M
0,Athletics,20,,,F
0,Boxing,26,,,M
0,Football,23,182,63,M
0,Swimming,23,182,87,M
0,Athletics,24,185,88,M
0,Swimming,27,174,74,M
0,Handball,28,180,64,F
