Total,Sport,Age,Height,Weight,Sex,HWbmi
0,Basketball,29,208,110,M,25.42529586
0,Basketball,19,192,83,F,22.51519097
0,Cycling - Road,24,178,67,M,21.14631991
0,Cycling - Road,31,172,67,M,22.64737696
0,Basketball,26,172,62,F,20.9572742
0,Cycling - Road,29,,,M,
0,Basketball,22,188,86,F,24.33227705
0,Tennis,26,183,84,M,25.08286303
0,Cycling - Road,25,181,72,M,21.97735112
0,Cycling - Road,23,169,53,F,18.55677322
0,Basketball,21,208,,M,
0,Basketball,24,210,,M,
0,Basketball,32,212,102,M,22.69490922
0,Basketball,24,175,70,F,22.85714286
0,Cycling - Road,34,171,63,M,21.5450908
0,Cycling - Road,25,170,56,F,19.37716263
0,Basketball,28,203,104,M,25.23720546
0,Basketball,23,202,97,M,23.7721792
0,Cycling - Road,30,174,55,F,18.16620425
0,Cycling - Road,27,171,64,M,21.88707637
0,Basketball,32,212,115,M,25.58739765
0,Basketball,31,199,,M,
1,Cycling - Road,38,173,58,F,19.37919743
0,Basketball,29,190,77,F,21.32963989
0,Tennis,28,177,70,F,22.34351559
0,Basketball,28,185,82,F,23.95909423
0,Basketball,28,185,75,F,21.9138057
0,Basketball,24,183,78,F,23.29122996
0,Tennis,23,182,67,F,20.22702572
0,Basketball,27,211,125,M,28.07663799
1,Cycling - Road,25,,,M,
0,Basketball,19,208,100,M,23.11390533
0,Basketball,26,200,93,M,23.25
0,Cycling - Road,25,167,60,F,21.51385851
0,Tennis,19,180,69,F,21.2962963
0,Cycling - Road,28,164,61,F,22.67995241
0,Cycling - Road,26,185,76,M,22.20598977
0,Tennis,27,,,M,
0,Cycling - Road,32,190,76,M,21.05263158
0,Tennis,28,175,70,F,22.85714286
0,Basketball,29,194,85,M,22.58475927
0,Basketball,28,205,97,M,23.08149911
0,Cycling - Road,27,184,73,M,21.56190926
0,Basketball,21,175,64,F,20.89795918
0,Tennis,22,185,75,F,21.9138057
0,Basketball,22,174,65,F,21.46915048
0,Cycling - Road,23,173,53,F,17.70857697
0,Basketball,31,193,89,F,23.89325888
0,Basketball,23,203,96,M,23.29588197
0,Cycling - Road,27,190,80,M,22.16066482
0,Basketball,25,208,115,M,26.58099112
0,Cycling - Road,31,170,66,M,22.83737024
0,Tennis,21,181,67,F,20.45114618
0,Basketball,28,180,71,F,21.91358025
0,Tennis,24,,,M,
0,Basketball,26,184,72,F,21.26654064
0,Basketball,23,204,102,M,24.50980392
0,Tennis,30,185,79,M,23.082542
0,Cycling - Road,29,180,65,M,20.0617284
0,Cycling - Road,25,175,68,M,22.20408163
0,Tennis,26,195,92,M,24.19460881
0,Tennis,29,184,81,M,23.92485822
0,Tennis,38,,,M,
0,Cycling - Road,21,176,63,F,20.33832645
0,Basketball,31,175,67,F,21.87755102
0,Basketball,23,189,85,F,23.79552644
0,Cycling - Road,25,,,M,
0,Basketball,26,211,114,M,25.60589385
0,Cycling - Road,27,174,65,M,21.46915048
0,Tennis,29,178,77,M,24.30248706
0,Basketball,27,191,86,M,23.57391519
0,Cycling - Road,26,177,70,M,22.34351559
0,Tennis,25,175,62,F,20.24489796
0,Cycling - Road,26,191,81,M,22.20333872
0,Cycling - Road,31,192,82,M,22.24392361
0,Tennis,32,,,M,
0,Cycling - Road,31,178,70,M,22.09317005
0,Tennis,34,180,78,M,24.07407407
0,Cycling - Road,28,178,60,M,18.9370029
0,Cycling - Road,27,182,68,M,20.52892163
0,Cycling - Road,29,161,54,F,20.83252961
0,Tennis,32,193,89,M,23.89325888
0,Tennis,34,191,88,M,24.12214577
0,Tennis,34,191,84,M,23.0256846
0,Basketball,33,198,93,M,23.72206918
0,Basketball,28,195,87,F,22.87968442
0,Tennis,24,203,93,M,22.56788566
0,Basketball,29,188,80,F,22.63467632
0,Cycling - Road,27,170,61,M,21.10726644
0,Tennis,26,185,80,M,23.37472608
0,Basketball,23,190,76,F,21.05263158
0,Basketball,30,191,90,M,24.67037636
0,Basketball,20,203,98,F,23.78121284
0,Basketball,21,179,88,M,27.46481071
0,Basketball,32,168,67,F,23.73866213
0,Cycling - Road,31,186,81,M,23.41311134
0,Basketball,21,190,85,F,23.54570637
0,Cycling - Road,31,170,58,F,20.06920415
0,Basketball,20,179,61,F,19.03810742
0,Basketball,33,181,77,F,23.50355606
0,Cycling - Road,29,179,70,M,21.84700852
0,Basketball,32,183,77,F,22.99262444
0,Cycling - Road,25,172,64,M,21.63331531
0,Basketball,33,188,77,F,21.78587596
0,Basketball,25,192,86,M,23.32899306
0,Cycling - Road,27,175,69,M,22.53061224
0,Tennis,20,163,66,F,24.84098009
0,Tennis,27,172,64,F,21.63331531
0,Tennis,34,,,F,
0,Tennis,29,172,58,F,19.605192
0,Basketball,29,216,109,M,23.36248285
0,Basketball,23,191,88,F,24.12214577
0,Cycling - Road,33,181,70,M,21.36686914
0,Basketball,23,188,80,M,22.63467632
0,Basketball,29,197,83,F,21.38679172
0,Basketball,30,193,78,F,20.94015947
0,Tennis,27,168,62,F,21.96712018
0,Tennis,23,161,59,F,22.76146754
0,Basketball,26,169,65,F,22.75830678
0,Tennis,23,198,87,M,22.1916131
0,Tennis,22,177,63,F,20.10916403
0,Basketball,23,210,109,M,24.71655329
0,Basketball,23,207,107,M,24.97141123
0,Tennis,29,175,72,F,23.51020408
0,Basketball,23,194,84,F,22.31905622
0,Basketball,29,167,63,F,22.58955144
0,Cycling - Road,29,167,58,F,20.79672989
0,Cycling - Road,22,170,60,F,20.76124567
0,Tennis,22,173,60,F,20.04744562
0,Basketball,33,172,64,F,21.63331531
0,Cycling - Road,25,183,68,M,20.30517483
0,Cycling - Road,29,184,75,M,22.1526465
0,Basketball,32,193,88,M,23.6247953
0,Basketball,26,193,82,F,22.0140138
0,Basketball,30,169,60,F,21.0076678
0,Basketball,25,191,74,F,20.28453167
0,Cycling - Road,21,161,60,F,23.14725512
0,Cycling - Road,40,178,64,M,20.19946976
0,Cycling - Road,39,176,69,F,22.27530992
0,Cycling - Road,26,168,52,F,18.42403628
0,Cycling - Road,30,,,F,
0,Basketball,26,195,,M,
0,Basketball,24,183,70,F,20.90238586
0,Basketball,26,186,70,F,20.23355301
0,Basketball,19,192,88,F,23.87152778
0,Tennis,28,178,74,M,23.35563691
0,Tennis,31,178,70,M,22.09317005
0,Basketball,25,195,89,M,23.40565417
0,Cycling - Road,29,163,56,F,21.07719523
0,Cycling - Road,33,167,61,F,21.87242282
0,Cycling - Road,23,180,79,M,24.38271605
0,Tennis,27,167,68,F,24.38237298
0,Basketball,21,191,89,M,24.39626107
